time_s,robot_id,cycle_index,sync_error_ms,master_ts_us,local_ts_us,corrected_ts_us
21.805,2,89,0.3319,21805000.0,21804982.9,21805331.9
22.05,2,90,1.9986,22050000.0,22052000.6,22051998.6
22.295,2,91,0.0328,22295000.0,22295018.9,22295032.8
22.54,2,92,1.1246,22540000.0,22541336.2,22541124.6
22.785,2,93,-0.612,22785000.0,22784335.7,22784388.0
23.03,2,94,0.1709,23030000.0,23030214.4,23030170.9
23.275,2,95,-0.5448,23275000.0,23274325.8,23274455.2
23.52,2,96,0.164,23520000.0,23520063.8,23520164.0
23.765,2,97,1.2296,23765000.0,23766483.9,23766229.6
24.01,2,98,-1.6184,24010000.0,24008407.6,24008381.6
24.255,2,99,0.6633,24255000.0,24256006.5,24255663.3
24.5,2,100,0.2467,24500000.0,24500775.3,24500246.7
24.745,2,101,-0.702,24745000.0,24744781.9,24744298.0
24.99,2,102,-1.5291,24990000.0,24988764.5,24988470.9
25.235,2,103,0.3188,25235000.0,25235591.2,25235318.8
25.48,2,104,-0.2414,25480000.0,25479874.1,25479758.6
25.725,2,105,0.6659,25725000.0,25725793.5,25725665.9
25.97,2,106,0.4402,25970000.0,25970545.4,25970440.2
26.215,2,107,1.8606,26215000.0,26217446.1,26216860.6
26.46,2,108,-0.236,26460000.0,26460241.6,26459764.0
26.705,2,109,-0.9417,26705000.0,26704305.5,26704058.3
26.95,2,110,0.2569,26950000.0,26950753.7,26950256.9
27.195,2,111,0.2311,27195000.0,27195807.4,27195231.1
27.44,2,112,1.148,27440000.0,27442179.3,27441148.0
27.685,2,113,0.3974,27685000.0,27686555.3,27685397.4
27.93,2,114,-0.2486,27930000.0,27930986.2,27929751.4
28.175,2,115,0.8587,28175000.0,28177318.8,28175858.7
28.42,2,116,-1.9841,28420000.0,28419141.2,28418015.9
28.665,2,117,-1.2647,28665000.0,28664804.8,28663735.3
28.91,2,118,-1.2018,28910000.0,28909465.5,28908798.2
29.155,2,119,-0.5156,29155000.0,29155114.5,29154484.4
29.4,2,120,-1.4286,29400000.0,29398935.1,29398571.4
29.645,2,121,0.8809,29645000.0,29646354.1,29645880.9
29.89,2,122,0.0619,29890000.0,29890330.1,29890061.9
30.135,2,123,-1.1101,30135000.0,30133836.7,30133889.9
30.38,2,124,-0.2926,30380000.0,30379387.8,30379707.4
30.625,2,125,1.1777,30625000.0,30625987.6,30626177.7
30.87,2,126,1.5918,30870000.0,30871621.9,30871591.8
31.115,2,127,2.3324,31115000.0,31118017.1,31117332.4
31.36,2,128,2.8061,31360000.0,31364122.5,31362806.1
31.605,2,129,-0.113,31605000.0,31606128.0,31604887.0
31.85,2,130,-1.5252,31850000.0,31849448.2,31848474.8
32.095,2,131,-2.3945,32095000.0,32093082.0,32092605.5
32.34,2,132,0.276,32340000.0,32340966.6,32340276.0
32.585,2,133,-0.9452,32585000.0,32584674.6,32584054.8
32.83,2,134,-0.452,32830000.0,32830156.6,32829548.0
33.075,2,135,-0.7739,33075000.0,33074925.3,33074226.1
33.32,2,136,-0.1169,33320000.0,33320495.8,33319883.1
33.565,2,137,1.1057,33565000.0,33566948.7,33566105.7
33.81,2,138,0.056,33810000.0,33810862.9,33810056.0
34.055,2,139,-0.2573,34055000.0,34055488.9,34054742.7
34.3,2,140,-0.9265,34300000.0,34299441.3,34299073.5
34.545,2,141,-1.4036,34545000.0,34543679.4,34543596.4
34.79,2,142,0.1113,34790000.0,34790110.3,34790111.3
35.035,2,143,0.7683,35035000.0,35035634.1,35035768.3
35.28,2,144,2.6556,35280000.0,35282825.0,35282655.6
35.525,2,145,0.6442,35525000.0,35525864.7,35525644.2
35.77,2,146,1.3653,35770000.0,35771892.5,35771365.3
36.015,2,147,-0.521,36015000.0,36015118.9,36014479.0
36.26,2,148,-1.4508,36260000.0,36259301.0,36258549.2
36.505,2,149,-1.1145,36505000.0,36504569.6,36503885.5
36.75,2,150,-0.6628,36750000.0,36749862.4,36749337.2
36.995,2,151,2.4308,36995000.0,36998291.7,36997430.8
37.24,2,152,-0.9966,37240000.0,37239756.7,37239003.4
37.485,2,153,0.8482,37485000.0,37486753.4,37485848.2
37.73,2,154,-1.0195,37730000.0,37729668.5,37728980.5
37.975,2,155,1.01,37975000.0,37976874.8,37976010.0
38.22,2,156,0.2741,38220000.0,38221223.7,38220274.1
38.465,2,157,-0.4706,38465000.0,38465578.6,38464529.4
38.71,2,158,-0.3643,38710000.0,38710722.5,38709635.7
38.955,2,159,-0.9626,38955000.0,38954990.6,38954037.4
39.2,2,160,0.3482,39200000.0,39201316.4,39200348.2
39.445,2,161,-0.44,39445000.0,39445240.0,39444560.0
39.69,2,162,-1.022,39690000.0,39689320.1,39688978.0
39.935,2,163,-0.7949,39935000.0,39934262.2,39934205.1
40.18,2,164,0.6733,40180000.0,40181007.7,40180673.3
40.425,2,165,1.9435,40425000.0,40427700.3,40426943.5
40.67,2,166,0.0624,40670000.0,40671002.3,40670062.4
40.915,2,167,-0.2245,40915000.0,40915672.8,40914775.5
41.16,2,168,0.3071,41160000.0,41161163.0,41160307.1
41.405,2,169,1.3488,41405000.0,41407392.0,41406348.8
41.65,2,170,0.1149,41650000.0,41651092.9,41650114.9
41.895,2,171,-0.7569,41895000.0,41895341.4,41894243.1
42.14,2,172,0.92,42140000.0,42142166.9,42140920.0
42.385,2,173,-0.0515,42385000.0,42386358.7,42384948.5
42.63,2,174,1.0732,42630000.0,42632692.0,42631073.2
42.875,2,175,-0.6297,42875000.0,42876073.8,42874370.3
43.12,2,176,-2.0328,43120000.0,43119389.4,43117967.2
43.365,2,177,-1.8501,43365000.0,43364221.9,43363149.9
43.61,2,178,1.4202,43610000.0,43612849.6,43611420.2
43.855,2,179,1.2419,43855000.0,43857941.7,43856241.9
44.1,2,180,-0.974,44100000.0,44100662.8,44099026.0
44.345,2,181,-1.0085,44345000.0,44345423.2,44343991.5
44.59,2,182,1.0976,44590000.0,44592641.6,44591097.6
44.835,2,183,-1.467,44835000.0,44834564.3,44833533.0
45.08,2,184,-0.9133,45080000.0,45079823.9,45079086.7
45.325,2,185,0.7019,45325000.0,45326674.4,45325701.9
45.57,2,186,-0.389,45570000.0,45570433.8,45569611.0
45.815,2,187,0.1704,45815000.0,45815906.0,45815170.4
46.06,2,188,0.061,46060000.0,46060720.9,46060061.0
46.305,2,189,0.5011,46305000.0,46306327.0,46305501.1
46.55,2,190,1.4989,46550000.0,46552615.7,46551498.9
46.795,2,191,0.0223,46795000.0,46796040.3,46795022.3
47.04,2,192,0.4933,47040000.0,47041709.1,47040493.3
47.285,2,193,-2.2597,47285000.0,47283481.1,47282740.3
47.53,2,194,0.0018,47530000.0,47530887.7,47530001.8
47.775,2,195,-0.7803,47775000.0,47774939.1,47774219.7
48.02,2,196,-0.8245,48020000.0,48019493.3,48019175.5
48.265,2,197,-0.0673,48265000.0,48264906.9,48264932.7
48.51,2,198,0.4586,48510000.0,48510564.6,48510458.6
48.755,2,199,1.5101,48755000.0,48757069.5,48756510.1
49.0,2,200,-0.9153,49000000.0,48999383.6,48999084.7
49.245,2,201,0.6814,49245000.0,49246016.8,49245681.4
49.49,2,202,-0.0678,49490000.0,49490403.9,49489932.2
49.735,2,203,0.2287,49735000.0,49735596.6,49735228.7
49.98,2,204,1.6251,49980000.0,49982198.0,49981625.1
50.225,2,205,0.8188,50225000.0,50226645.2,50225818.8
50.47,2,206,1.4736,50470000.0,50472609.2,50471473.6
50.715,2,207,-0.305,50715000.0,50715823.8,50714695.0
50.96,2,208,-0.8062,50960000.0,50960178.9,50959193.8
51.205,2,209,-0.2656,51205000.0,51205750.3,51204734.4
51.45,2,210,0.0265,51450000.0,51451314.8,51450026.5
51.695,2,211,-0.1676,51695000.0,51696240.5,51694832.4
51.94,2,212,-1.5794,51940000.0,51939732.2,51938420.6
52.185,2,213,-0.037,52185000.0,52186146.9,52184963.0
52.43,2,214,0.027,52430000.0,52431317.0,52430027.0
52.675,2,215,2.2615,52675000.0,52679069.0,52677261.5
52.92,2,216,1.227,52920000.0,52923305.1,52921227.0
53.165,2,217,-1.6938,53165000.0,53165033.8,53163306.2
53.41,2,218,-0.8514,53410000.0,53410717.7,53409148.6
53.655,2,219,-1.9862,53655000.0,53654311.3,53653013.8
53.9,2,220,-0.6287,53900000.0,53900363.4,53899371.3
54.145,2,221,0.4171,54145000.0,54146455.9,54145417.1
54.39,2,222,1.3117,54390000.0,54392529.0,54391311.7
54.635,2,223,-0.7425,54635000.0,54635211.9,54634257.5
54.88,2,224,-0.5679,54880000.0,54880306.7,54879432.1
55.125,2,225,-1.9157,55125000.0,55123519.8,55123084.3
55.37,2,226,0.3269,55370000.0,55370906.2,55370326.9
55.615,2,227,-0.5387,55615000.0,55614831.3,55614461.3
55.86,2,228,0.2461,55860000.0,55860475.8,55860246.1
56.105,2,229,-0.0023,56105000.0,56105063.7,56104997.7
56.35,2,230,0.864,56350000.0,56351007.7,56350864.0
56.595,2,231,-0.8329,56595000.0,56594016.4,56594167.1
56.84,2,232,-0.1304,56840000.0,56839370.0,56839869.6
57.085,2,233,3.5896,57085000.0,57088690.4,57088589.6
57.33,2,234,-0.3276,57330000.0,57329595.3,57329672.4
57.575,2,235,-0.2574,57575000.0,57574828.9,57574742.6
57.82,2,236,2.4647,57820000.0,57823354.2,57822464.7
58.065,2,237,3.0359,58065000.0,58069640.8,58068035.9
58.31,2,238,-1.6587,58310000.0,58309753.7,58308341.3
58.555,2,239,-0.5522,58555000.0,58555722.6,58554447.8
58.8,2,240,0.1981,58800000.0,58801579.2,58800198.1
59.045,2,241,1.3589,59045000.0,59048248.6,59046358.9
59.29,2,242,-1.8787,59290000.0,59289994.8,59288121.3
59.535,2,243,-0.9406,59535000.0,59535889.5,59534059.4
59.78,2,244,0.1062,59780000.0,59782121.5,59780106.2
60.025,2,245,-0.2044,60025000.0,60026715.3,60024795.6
60.27,2,246,-1.0903,60270000.0,60270747.0,60268909.7
60.515,2,247,-0.6624,60515000.0,60516042.7,60514337.6
60.76,2,248,-1.786,60760000.0,60759558.3,60758214.0
61.005,2,249,-0.2824,61005000.0,61005927.2,61004717.6
61.25,2,250,-0.2532,61250000.0,61250898.2,61249746.8
61.495,2,251,0.4941,61495000.0,61496501.3,61495494.1
61.74,2,252,-0.1274,61740000.0,61740561.1,61739872.6
61.985,2,253,0.7837,61985000.0,61986798.2,61985783.7
62.23,2,254,1.3729,62230000.0,62232452.5,62231372.9
62.475,2,255,0.4915,62475000.0,62476428.6,62475491.5
62.72,2,256,0.4999,62720000.0,62721669.1,62720499.9
62.965,2,257,-0.172,62965000.0,62966315.6,62964828.0
63.21,2,258,-0.0977,63210000.0,63211256.7,63209902.3
63.455,2,259,-0.7414,63455000.0,63455395.6,63454258.6
63.7,2,260,0.4041,63700000.0,63701646.1,63700404.1
63.945,2,261,-0.267,63945000.0,63946154.5,63944733.0
64.19,2,262,1.9925,64190000.0,64193787.9,64191992.5
64.435,2,263,1.0799,64435000.0,64438168.9,64436079.9
64.68,2,264,-0.4603,64680000.0,64681748.8,64679539.7
64.925,2,265,-1.664,64925000.0,64925374.9,64923336.0
65.17,2,266,-1.7543,65170000.0,65169960.6,65168245.7
65.415,2,267,0.7838,65415000.0,65417729.7,65415783.8
65.66,2,268,-0.1771,65660000.0,65661620.5,65659822.9
65.905,2,269,0.0798,65905000.0,65906886.2,65905079.8
66.15,2,270,-2.0827,66150000.0,66149221.4,66147917.3
66.395,2,271,0.9507,66395000.0,66397432.6,66395950.7
66.64,2,272,0.4219,66640000.0,66641869.9,66640421.9
66.885,2,273,-1.1746,66885000.0,66884996.9,66883825.4
67.13,2,274,-0.3606,67130000.0,67130768.4,67129639.4
67.375,2,275,0.4824,67375000.0,67376655.6,67375482.4
67.62,2,276,0.215,67620000.0,67621406.9,67620215.0
67.865,2,277,-0.105,67865000.0,67865998.2,67864895.0
68.11,2,278,0.1735,68110000.0,68111229.5,68110173.5
68.355,2,279,0.1653,68355000.0,68356056.2,68355165.3
68.6,2,280,0.6141,68600000.0,68601546.5,68600614.1
68.845,2,281,1.9128,68845000.0,68848134.0,68846912.8
69.09,2,282,-2.5537,69090000.0,69088293.1,69087446.3
69.335,2,283,0.086,69335000.0,69336093.7,69335086.0
69.58,2,284,0.4448,69580000.0,69581594.6,69580444.8
69.825,2,285,0.5586,69825000.0,69826742.8,69825558.6
70.07,2,286,-0.0635,70070000.0,70070946.2,70069936.5
70.315,2,287,-1.5013,70315000.0,70314289.3,70313498.7
70.56,2,288,0.8211,70560000.0,70561795.8,70560821.1
70.805,2,289,1.9834,70805000.0,70808479.9,70806983.4
71.05,2,290,-1.4311,71050000.0,71049571.3,71048568.9
71.295,2,291,1.0936,71295000.0,71297453.4,71296093.6
71.54,2,292,-0.3683,71540000.0,71541027.4,71539631.7
71.785,2,293,0.036,71785000.0,71786352.9,71785036.0
72.03,2,294,-0.908,72030000.0,72030167.8,72029092.0
72.275,2,295,-0.0583,72275000.0,72276034.8,72274941.7
72.52,2,296,1.5413,72520000.0,72523001.1,72521541.3
72.765,2,297,0.5415,72765000.0,72767145.1,72765541.5
73.01,2,298,1.5179,73010000.0,73013529.5,73011517.9
73.255,2,299,0.6223,73255000.0,73257868.5,73255622.3
73.5,2,300,-0.3527,73500000.0,73501987.3,73499647.3
73.745,2,301,0.6796,73745000.0,73748558.0,73745679.6
73.99,2,302,-0.6389,73990000.0,73991996.9,73989361.1
74.235,2,303,-0.2405,74235000.0,74237468.6,74234759.5
74.48,2,304,-1.4385,74480000.0,74481124.0,74478561.5
74.725,2,305,-0.9553,74725000.0,74726564.5,74724044.7
74.97,2,306,-1.578,74970000.0,74970652.6,74968422.0
75.215,2,307,0.5251,75215000.0,75217681.9,75215525.1
75.46,2,308,-1.7176,75460000.0,75460085.3,75458282.4
75.705,2,309,0.3635,75705000.0,75707442.9,75705363.5
75.95,2,310,-0.4837,75950000.0,75951280.2,75949516.3
76.195,2,311,0.9025,76195000.0,76197919.3,76195902.5
76.44,2,312,0.3921,76440000.0,76442419.7,76440392.1
76.685,2,313,1.4177,76685000.0,76688708.3,76686417.7
76.93,2,314,0.2463,76930000.0,76932405.3,76930246.3
77.175,2,315,-1.9239,77175000.0,77174646.8,77173076.1
77.42,2,316,-0.0764,77420000.0,77421457.7,77419923.6
77.665,2,317,-1.053,77665000.0,77665136.5,77663947.0
77.91,2,318,-0.232,77910000.0,77910925.8,77909768.0
78.155,2,319,1.8153,78155000.0,78158366.1,78156815.3
78.4,2,320,0.6676,78400000.0,78402322.5,78400667.6
78.645,2,321,-0.8906,78645000.0,78645723.6,78644109.4
78.89,2,322,-1.038,78890000.0,78890350.7,78888962.0
79.135,2,323,0.1435,79135000.0,79136611.4,79135143.5
79.38,2,324,-1.0306,79380000.0,79380117.0,79378969.4
79.625,2,325,-0.2314,79625000.0,79625776.4,79624768.6
79.87,2,326,0.9531,79870000.0,79871961.0,79870953.1
80.115,2,327,1.5961,80115000.0,80117977.8,80116596.1
80.36,2,328,0.9565,80360000.0,80362326.8,80360956.5
80.605,2,329,-2.0667,80605000.0,80603851.6,80602933.3
80.85,2,330,0.9922,80850000.0,80851971.2,80850992.2
81.095,2,331,0.5535,81095000.0,81096697.3,81095553.5
81.34,2,332,0.7593,81340000.0,81342112.4,81340759.3
81.585,2,333,1.5954,81585000.0,81588560.0,81586595.4
81.83,2,334,-2.4788,81830000.0,81829149.5,81827521.2
82.075,2,335,-0.4713,82075000.0,82075920.9,82074528.7
82.32,2,336,0.761,82320000.0,82322344.2,82320761.0
82.565,2,337,-1.4041,82565000.0,82564742.0,82563595.9
82.81,2,338,1.94,82810000.0,82813415.9,82811940.0
83.055,2,339,0.3237,83055000.0,83057091.7,83055323.7
83.3,2,340,0.5888,83300000.0,83302670.4,83300588.8
83.545,2,341,-0.9408,83545000.0,83545974.2,83544059.2
83.79,2,342,0.6231,83790000.0,83792640.7,83790623.1
84.035,2,343,0.6802,84035000.0,84037951.2,84035680.2
84.28,2,344,-0.2168,84280000.0,84281953.4,84279783.2
84.525,2,345,-0.1505,84525000.0,84526960.0,84524849.5
84.77,2,346,-0.1534,84770000.0,84772008.0,84769846.6
85.015,2,347,-1.4088,85015000.0,85015652.5,85013591.2
85.26,2,348,-0.5737,85260000.0,85261516.3,85259426.3
85.505,2,349,-0.2671,85505000.0,85506515.1,85504732.9
85.75,2,350,0.2941,85750000.0,85752163.1,85750294.1
85.995,2,351,0.8437,85995000.0,85997907.7,85995843.7
86.24,2,352,-1.3828,86240000.0,86240442.5,86238617.2
86.485,2,353,-0.3963,86485000.0,86486567.6,86484603.7
86.73,2,354,1.4512,86730000.0,86733500.2,86731451.2
86.975,2,355,-0.9191,86975000.0,86975835.0,86974080.9
87.22,2,356,-0.8409,87220000.0,87220745.4,87219159.1
87.465,2,357,0.5701,87465000.0,87466979.8,87465570.1
87.71,2,358,1.042,87710000.0,87712755.1,87711042.0
87.955,2,359,0.0515,87955000.0,87956760.4,87955051.5
88.2,2,360,1.2844,88200000.0,88203346.3,88201284.4
88.445,2,361,0.6535,88445000.0,88447784.5,88445653.5
88.69,2,362,0.4329,88690000.0,88692771.4,88690432.9
88.935,2,363,-0.0809,88935000.0,88937431.0,88934919.1
89.18,2,364,1.5742,89180000.0,89184564.1,89181574.2
89.425,2,365,-1.3366,89425000.0,89426529.6,89423663.4
89.67,2,366,-2.9785,89670000.0,89669376.4,89667021.5
89.915,2,367,1.1598,89915000.0,89918710.6,89916159.8
90.16,2,368,-1.0887,90160000.0,90161241.1,90158911.3
90.405,2,369,-0.3152,90405000.0,90406924.7,90404684.8
90.65,2,370,0.8938,90650000.0,90653371.5,90650893.8
90.895,2,371,-2.2424,90895000.0,90894882.2,90892757.6
91.14,2,372,-1.3397,91140000.0,91140307.8,91138660.3
91.385,2,373,-1.3146,91385000.0,91384893.1,91383685.4
91.63,2,374,-0.2988,91630000.0,91630866.5,91629701.2
91.875,2,375,1.1822,91875000.0,91877351.9,91876182.2
92.12,2,376,1.2948,92120000.0,92122458.2,92121294.8
92.365,2,377,0.9633,92365000.0,92367165.6,92365963.3
92.61,2,378,-0.7973,92610000.0,92610143.6,92609202.7
92.855,2,379,-1.3465,92855000.0,92854071.6,92853653.5
93.1,2,380,1.2953,93100000.0,93101913.8,93101295.3
93.345,2,381,0.6189,93345000.0,93346287.3,93345618.9
93.59,2,382,1.4631,93590000.0,93592409.5,93591463.1
93.835,2,383,1.4546,93835000.0,93837705.5,93836454.6
94.08,2,384,0.3945,94080000.0,94082033.9,94080394.5
94.325,2,385,0.8844,94325000.0,94327785.0,94325884.4
94.57,2,386,0.3422,94570000.0,94572152.7,94570342.2
94.815,2,387,0.3364,94815000.0,94817518.6,94815336.4
95.06,2,388,-1.008,95060000.0,95061041.8,95058992.0
95.305,2,389,-0.4301,95305000.0,95306676.7,95304569.9
95.55,2,390,-0.2631,95550000.0,95552133.2,95549736.9
95.795,2,391,0.3914,95795000.0,95797886.6,95795391.4
96.04,2,392,-0.8891,96040000.0,96041434.3,96039110.9
96.285,2,393,0.2377,96285000.0,96287537.1,96285237.7
96.53,2,394,-0.5626,96530000.0,96531597.5,96529437.4
96.775,2,395,-0.4127,96775000.0,96776780.3,96774587.3
97.02,2,396,0.4649,97020000.0,97022921.6,97020464.9
97.265,2,397,-2.5169,97265000.0,97264539.4,97262483.1
97.51,2,398,-1.2677,97510000.0,97510380.2,97508732.3
97.755,2,399,-0.9255,97755000.0,97755162.1,97754074.5
98.0,2,400,-1.4627,98000000.0,97999145.3,97998537.3
98.245,2,401,0.6632,98245000.0,98246136.6,98245663.2
98.49,2,402,2.0815,98490000.0,98492854.6,98492081.5
98.735,2,403,0.7509,98735000.0,98736618.3,98735750.9
98.98,2,404,1.1845,98980000.0,98982202.4,98981184.5
99.225,2,405,1.836,99225000.0,99228276.9,99226836.0
99.47,2,406,1.72,99470000.0,99473568.0,99471720.0
99.715,2,407,-0.0637,99715000.0,99716896.6,99714936.3
99.96,2,408,1.3564,99960000.0,99963608.7,99961356.4
100.205,2,409,-0.1905,100205000.0,100207099.8,100204809.5
100.45,2,410,-1.1726,100450000.0,100450989.3,100448827.4
100.695,2,411,-0.8944,100695000.0,100696285.7,100694105.6
100.94,2,412,-1.6525,100940000.0,100940227.2,100938347.5
101.185,2,413,-0.8967,101185000.0,101185942.9,101184103.3
101.43,2,414,-0.2635,101430000.0,101431583.9,101429736.5
101.675,2,415,0.8491,101675000.0,101677982.7,101675849.1
101.92,2,416,1.366,101920000.0,101924088.2,101921366.0
102.165,2,417,-1.8945,102165000.0,102165369.5,102163105.5
102.41,2,418,0.2285,102410000.0,102412504.3,102410228.5
102.655,2,419,-1.1273,102655000.0,102655789.2,102653872.7
102.9,2,420,0.8277,102900000.0,102902612.3,102900827.7
103.145,2,421,0.2214,103145000.0,103146890.2,103145221.4
103.39,2,422,-1.4813,103390000.0,103389855.3,103388518.7
103.635,2,423,1.6328,103635000.0,103638171.2,103636632.8
103.88,2,424,-0.1004,103880000.0,103881336.1,103879899.6
104.125,2,425,-0.0444,104125000.0,104126426.2,104124955.6
104.37,2,426,-0.6539,104370000.0,104370788.1,104369346.1
104.615,2,427,-0.0878,104615000.0,104616291.5,104614912.2
104.86,2,428,0.8564,104860000.0,104862594.9,104860856.4
105.105,2,429,0.0344,105105000.0,105106859.2,105105034.4
105.35,2,430,0.5657,105350000.0,105352485.6,105350565.7
105.595,2,431,0.4989,105595000.0,105597530.3,105595498.9
105.84,2,432,1.4516,105840000.0,105843685.7,105841451.6
106.085,2,433,-0.3943,106085000.0,106086694.4,106084605.7
106.33,2,434,-1.407,106330000.0,106330338.4,106328593.0
106.575,2,435,1.2687,106575000.0,106578396.1,106576268.7
106.82,2,436,-0.58,106820000.0,106821722.5,106819420.0
107.065,2,437,0.9989,107065000.0,107068462.7,107065998.9
107.31,2,438,-0.0415,107310000.0,107312590.0,107309958.5
107.555,2,439,-0.5355,107555000.0,107556977.5,107554464.5
107.8,2,440,-0.1096,107800000.0,107802558.2,107799890.4
108.045,2,441,1.3759,108045000.0,108049485.8,108046375.9
108.29,2,442,1.3023,108290000.0,108294641.8,108291302.3
